"","NAME","CITY","STATE","ZIP","LAT","LON","HIGHDEG","TYPE","RELIGIOUS","ONLINE","AVGFACSAL","TUIREVSTU","INCOSTSTU","PRGMOFR","OPENADMP","ADM_RATE","TUITIONFEE_IN","TUITIONFEE_OUT","COST","NPT4_PUB","NPT4_PRIV","UGDS","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","INC_PCT_LO","INC_PCT_M1","INC_PCT_M2","INC_PCT_H1","INC_PCT_H2","FTFTPCTFLOAN","GRAD_DEBT_MDN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_P6","MN_EARN_WNE_P7","MN_EARN_WNE_P8","MN_EARN_WNE_P9","MN_EARN_WNE_P10","MN_EARN_WNE_INC1_P6","MN_EARN_WNE_INC2_P6","MN_EARN_WNE_INC3_P6","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","CDR3","RPY_1YR_RT","RPY_3YR_RT","RPY_5YR_RT","RPY_7YR_RT"
"1","Alabama A & M University","Normal","AL","35762","34.783368","-86.568502",4,1,"NULL","0","7101","7413","5384","NULL","2","0.8986","9744","18354","22489","14444","NULL","4990","0.4076","0.5924","0.0186","0.912","0.0018","0.0088","0.6020087884","0.1898932831","0.1051475204","0.0621468927","0.0408035154","0.7143","34500","15000","15125","16125","28400","29600","30600","33800","35500","27200","29100","30800","33000","37300","39500","0.182","0.1734693878","0.2531554273","0.3311258278","0.3847915712"
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110","33.505697","-86.799345",4,1,"NULL","0","10717","13177","16454","NULL","2","0.9211","8568","19704","24347","17005","NULL","13186","0.393","0.607","0.5717","0.2553","0.0633","0.0334","0.4276131917","0.1798024967","0.1423514067","0.114589156","0.1356437488","0.535","22500","15563","15000","14000","39400","40000","44100","44500","48400","38600","39400","40500","47000","49500","49300","0.057","0.451034777","0.513963161","0.5710577547","0.6377618669"
"3","Amridge University","Montgomery","AL","36117-3553","32.362609","-86.17401",4,2,"74","1","4292","14273","4206","NULL","1","NULL","6900","6900","17680","NULL","15322","351","0.3191","0.6809","0.2393","0.7151","0.0057","0.0171","0.7736486486","0.1148648649","0.0641891892","PrivacySuppressed","PrivacySuppressed","1","25002","10500","18000","25000","35400","38700","40800","42400","47600","30300","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48800","PrivacySuppressed","0.11","0.1601731602","0.2307692308","0.3324675325","0.4332129964"
"4","University of Alabama in Huntsville","Huntsville","AL","35899","34.724557","-86.640449",4,1,"NULL","0","9442","8677","9242","NULL","2","0.8087","10714","22362","23441","20909","NULL","7458","0.5796","0.4204","0.7167","0.0969","0.0381","0.0528","0.374633738","0.1377145249","0.1469233989","0.1506906656","0.1900376727","0.4556","22021","16500","14250","12044","40300","43400","45900","50200","52000","36300","44200","41500","47000","55500","55100","0.059","0.5020026702","0.5485090298","0.5883111302","0.647634584"
"5","Alabama State University","Montgomery","AL","36104-0271","32.364317","-86.295677",4,1,"NULL","0","7754","10160","8527","NULL","2","0.9774","11068","19396","21476","13043","NULL","3903","0.371","0.629","0.0167","0.9352","0.0041","0.0095","0.6146166134","0.178514377","0.1126198083","0.052715655","0.0415335463","0.7539","32637","19000","19137","16000","24400","25200","27500","29400","30600","23500","25400","27700","29000","32500","34300","0.203","0.1361102963","0.2185867473","0.2897054358","0.3226012113"
"6","The University of Alabama","Tuscaloosa","AL","35487-0166","33.211875","-87.545978",4,1,"NULL","0","10225","14198","10770","NULL","2","0.5906","10780","29230","29424","22232","NULL","32177","0.4443","0.5557","0.7774","0.0999","0.0116","0.0499","0.261546724","0.1279269603","0.1374865736","0.1316863588","0.3413533835","0.4145","23250","18250","17750","16500","42400","41700","45600","47200","51600","42900","41400","42700","45500","51600","55800","0.051","0.5467113532","0.6019442985","0.6358131488","0.6908678389"
"7","Central Alabama Community College","Alexander City","AL","35010","32.92478","-85.945266",2,1,"NULL","0","6291","1771","6801","NULL","1","NULL","4740","8610","8824","3254","NULL","1211","0.4154","0.5846","0.725","0.2337","0.0041","0.0239","0.6074766355","0.1757009346","0.114953271","0.0654205607","0.0364485981","0.1748","12447","8514","7940","5500","25900","26600","29300","29400","32400","23300","29700","33800","28900","37300","42800","0.196","0.1896407686","0.2510056315","0.3200346921","0.42375"
"8","Athens State University","Athens","AL","35611","34.806793","-86.964698",4,1,"NULL","0","8538","6817","7988","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2732","0.3086","0.6914","0.7657","0.127","0.0073","0.0311","0.4928385417","0.203125","0.1569010417","0.1009114583","0.0462239583","NULL","18750","13259","14687","12500","36200","37500","40000","42100","42400","30800","38600","42500","36700","45400","50900","0.075","0.4318594791","0.5038167939","0.5420168067","0.5972622478"
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596","32.36736","-86.177544",4,1,"NULL","0","7678","7582","6289","NULL","2","0.9281","8404","17812","18291","12680","NULL","4529","0.348","0.652","0.452","0.4131","0.0221","0.0117","0.4892262488","0.1885406464","0.1307541626","0.110675808","0.0808031342","0.5518","25000","12500","12500","11375","32100","34500","37000","35500","38000","29400","33700","35300","34600","39100","45200","0.104","0.3822377013","0.4418886199","0.4601834862","0.528"
"10","Auburn University","Auburn","AL","36849","32.599378","-85.488258",4,1,"NULL","0","10428","15908","11058","NULL","2","0.7543","11276","30524","31282","23696","NULL","24147","0.5115","0.4885","0.8078","0.055","0.0236","0.0342","0.2520373683","0.1208507255","0.129397734","0.1530510833","0.3446630888","0.3039","21000","17500","17500","15000","43100","44100","50800","49700","56300","41900","42200","44100","53800","54600","58300","0.036","0.6831242412","0.7239612977","0.7806225824","0.7988766472"
"11","Birmingham Southern College","Birmingham","AL","35254","33.513774","-86.850552",3,2,"71","0","7688","11383","10356","NULL","2","0.5666","17650","17650","52176","NULL","25494","1265","0.4791","0.5209","0.7858","0.1391","0.0253","0.0213","0.2352941176","0.128959276","0.1787330317","0.1787330317","0.278280543","0.5358","26000","15375","18500","19558","36700","35600","43500","44700","53100","33800","35600","38600","PrivacySuppressed","PrivacySuppressed","59500","0.048","0.7025761124","0.7559912854","0.7704918033","0.7781155015"
